Designator,Mid X,Mid Y,Rotation,Layer
_115,35.6,-184.425001,90.0,top
C1,55.6,-35.5,90.0,top
C10,79.8,-69.7,270.0,bottom
C11,124.8,-69.8,270.0,top
C12,124.8,-69.8,270.0,bottom
C13,170.4,-66.5,270.0,top
C14,170.4,-66.5,270.0,bottom
C15,9.8,-112.375,270.0,top
C16,9.8,-112.375,270.0,bottom
C17,56.2,-116.0,90.0,top
C18,56.2,-116.0,90.0,bottom
C19,101.4,-116.3,90.0,top
C2,55.6,-35.5,90.0,bottom
C20,101.4,-116.3,90.0,bottom
C21,147.6,-116.075,90.0,top
C22,147.6,-116.1,90.0,bottom
C23,195.9,-114.7,90.0,top
C24,195.9,-114.7,90.0,bottom
C25,170.5,-146.2,270.0,top
C26,170.5,-146.2,270.0,bottom
C27,123.8,-145.7,270.0,top
C28,123.8,-145.7,270.0,bottom
C29,78.5,-147.7,270.0,top
C3,102.2,-29.6,270.0,top
C30,78.5,-147.7,270.0,bottom
C31,33.8,-146.3,270.0,top
C32,33.8,-146.3,270.0,bottom
C33,55.8,-186.7,270.0,top
C34,55.8,-186.7,270.0,bottom
C35,101.8,-196.1,90.0,top
C36,101.8,-196.1,90.0,bottom
C37,147.3,-195.8,90.0,top
C38,147.3,-195.8,90.0,bottom
C4,102.2,-29.6,270.0,bottom
C5,147.1,-29.4,270.0,top
C6,147.1,-29.4,270.0,bottom
C7,32.6,-68.3,270.0,top
C8,32.6,-68.3,270.0,bottom
C9,79.8,-69.7,270.0,top
J1,5.0,-32.319999,180.0,top
J10,29.100001,-133.37,270.0,bottom
J11,75.27,-133.07,270.0,bottom
J12,121.210001,-133.25,270.0,bottom
J13,167.12,-133.25,270.0,bottom
J14,213.11,-133.08,270.0,bottom
J15,190.17,-173.04,270.0,bottom
J16,144.52,-172.37,270.0,bottom
J17,97.94,-172.93,270.0,bottom
J18,52.01,-173.01,270.0,bottom
J19,75.15,-212.87,270.0,bottom
J2,75.071981,-32.745,0.0,top
J20,121.007702,-32.6325,0.0,top
J21,167.151981,-32.555,0.0,top
J22,121.16,-212.87,270.0,bottom
J23,167.17,-212.7,270.0,bottom
J24,190.271981,-72.27,0.0,top
J25,144.107702,-72.5425,0.0,top
J26,98.127702,-72.5725,0.0,top
J27,52.077702,-72.5825,0.0,top
J28,29.047702,-112.4225,0.0,top
J29,75.177702,-112.3125,0.0,top
J3,75.21,-53.22,270.0,bottom
J30,121.197702,-112.1725,0.0,top
J31,167.227702,-112.4925,0.0,top
J32,213.137702,-112.2925,0.0,top
J33,190.251981,-152.26,0.0,top
J34,144.171981,-152.155,0.0,top
J35,98.097702,-152.2625,0.0,top
J36,52.171981,-152.36,0.0,top
J37,75.181981,-192.1,0.0,top
J38,121.18626,-192.0325,0.0,top
J39,167.271981,-191.93,0.0,top
J4,121.16,-53.52,270.0,bottom
J40,39.8,-192.010001,0.0,bottom
J41,14.9,-191.6,180.0,bottom
J5,167.27,-53.44,270.0,bottom
J6,190.39,-93.1,270.0,bottom
J7,144.22,-93.5,270.0,bottom
J8,98.13,-93.32,270.0,bottom
J9,52.100001,-93.35,270.0,bottom
R1,7.4,-40.4,90.0,top
U1,65.495,-21.015,180.0,top
U10,74.14,-40.78,0.0,top
U100,22.075,-124.585,180.0,top
U101,61.085,-109.595,180.0,top
U102,62.215,-114.285,270.0,top
U103,63.65,-111.43,270.0,top
U104,66.245,-109.525,270.0,top
